,Accuracy,Shape
0,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
1,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
2,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
3,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
4,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
5,"(0.7456896551724138, 0.0, -0.02698594916802746)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
6,"(0.7456896551724138, 0.0, -0.02698594916802746)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
7,"(0.7456896551724138, 0.0, -0.02698594916802746)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
8,"(0.7456896551724138, 0.0, -0.02698594916802746)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
9,"(0.7456896551724138, 0.016666666666666666, 0.015080289718385523)","(0.007389162561576354, 0.16409036860879897, 0.03042328042328042)"
10,"(0.7413793103448276, 0.01639344262295082, -0.012535346902764736)","(0.012315270935960592, 0.29488703923900117, 0.06349206349206349)"
11,"(0.7413793103448276, 0.01639344262295082, -0.012535346902764736)","(0.012315270935960592, 0.29488703923900117, 0.06349206349206349)"
12,"(0.7413793103448276, 0.01639344262295082, -0.012535346902764736)","(0.012315270935960592, 0.29488703923900117, 0.06349206349206349)"
13,"(0.7435344827586207, 0.032520325203252036, 0.021396483673643284)","(0.014778325123152709, 0.4494649227110586, 0.06084656084656084)"
14,"(0.7478448275862069, 0.064, 0.07559668371773438)","(0.019704433497536946, 0.7300832342449464, 0.09391534391534391)"
15,"(0.7478448275862069, 0.064, 0.07559668371773438)","(0.019704433497536946, 0.7300832342449464, 0.09391534391534391)"
16,"(0.7478448275862069, 0.064, 0.07559668371773438)","(0.019704433497536946, 0.5921521997621879, 0.05555555555555555)"
17,"(0.7521551724137931, 0.09448818897637795, 0.1188825017314055)","(0.024630541871921183, 0.9036860879904868, 0.08862433862433862)"
18,"(0.7521551724137931, 0.09448818897637795, 0.1188825017314055)","(0.024630541871921183, 0.9036860879904868, 0.08862433862433862)"
