,Accuracy,Shape
0,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
1,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
2,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
3,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
4,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
5,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
6,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
7,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
8,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
9,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
10,"(0.7456896551724138, 0.0, -0.02698594916802746)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
11,"(0.7456896551724138, 0.016666666666666666, 0.015080289718385523)","(0.007389162561576354, 0.2330558858501781, 0.06878306878306878)"
12,"(0.7456896551724138, 0.016666666666666666, 0.015080289718385523)","(0.007389162561576354, 0.2330558858501781, 0.06878306878306878)"
13,"(0.7456896551724138, 0.016666666666666666, 0.015080289718385523)","(0.007389162561576354, 0.2330558858501781, 0.06878306878306878)"
14,"(0.7456896551724138, 0.016666666666666666, 0.015080289718385523)","(0.007389162561576354, 0.2330558858501781, 0.06878306878306878)"
15,"(0.7456896551724138, 0.016666666666666666, 0.015080289718385523)","(0.007389162561576354, 0.2330558858501781, 0.06878306878306878)"
16,"(0.7456896551724138, 0.016666666666666666, 0.015080289718385523)","(0.007389162561576354, 0.2330558858501781, 0.06878306878306878)"
17,"(0.7456896551724138, 0.016666666666666666, 0.015080289718385523)","(0.007389162561576354, 0.2330558858501781, 0.06878306878306878)"
18,"(0.7456896551724138, 0.016666666666666666, 0.015080289718385523)","(0.007389162561576354, 0.2330558858501781, 0.06878306878306878)"
19,"(0.7456896551724138, 0.016666666666666666, 0.015080289718385523)","(0.007389162561576354, 0.2330558858501781, 0.06878306878306878)"
20,"(0.7456896551724138, 0.016666666666666666, 0.015080289718385523)","(0.007389162561576354, 0.2330558858501781, 0.06878306878306878)"
