,Accuracy,Shape
0,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
1,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
2,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
3,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
4,"(0.8551724137931035, 0.03076923076923077, 0.11557186006424608)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
5,"(0.8574712643678161, 0.06060606060606061, 0.16363191668205773)","(0.0049261083743842365, 0.11890606420927474, 0.03306878306878307)"
6,"(0.8574712643678161, 0.06060606060606061, 0.16363191668205773)","(0.0049261083743842365, 0.11890606420927474, 0.03306878306878307)"
7,"(0.8574712643678161, 0.06060606060606061, 0.16363191668205773)","(0.0049261083743842365, 0.11890606420927474, 0.03306878306878307)"
8,"(0.8574712643678161, 0.06060606060606061, 0.16363191668205773)","(0.0049261083743842365, 0.11890606420927474, 0.03306878306878307)"
9,"(0.8574712643678161, 0.06060606060606061, 0.16363191668205773)","(0.0049261083743842365, 0.11890606420927474, 0.03306878306878307)"
10,"(0.8574712643678161, 0.06060606060606061, 0.16363191668205773)","(0.0049261083743842365, 0.11890606420927474, 0.03306878306878307)"
11,"(0.8597701149425288, 0.08955223880597014, 0.20063916962768982)","(0.007389162561576354, 0.16409036860879894, 0.03042328042328042)"
12,"(0.8597701149425288, 0.08955223880597014, 0.20063916962768982)","(0.007389162561576354, 0.16409036860879894, 0.03042328042328042)"
13,"(0.8597701149425288, 0.08955223880597014, 0.20063916962768982)","(0.007389162561576354, 0.16409036860879894, 0.03042328042328042)"
14,"(0.8597701149425288, 0.08955223880597014, 0.20063916962768982)","(0.007389162561576354, 0.16409036860879894, 0.03042328042328042)"
15,"(0.8597701149425288, 0.08955223880597014, 0.20063916962768982)","(0.007389162561576354, 0.16409036860879894, 0.03042328042328042)"
16,"(0.8620689655172413, 0.11764705882352941, 0.2319467696354393)","(0.009852216748768473, 0.3376932223543404, 0.06613756613756613)"
