,Accuracy,Shape
0,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
1,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
2,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
3,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
4,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
5,"(0.8551724137931035, 0.03076923076923077, 0.11557186006424608)","(0.0024630541871921183, 0.0642092746730083, 0.03571428571428571)"
6,"(0.8551724137931035, 0.03076923076923077, 0.11557186006424608)","(0.0024630541871921183, 0.0642092746730083, 0.03571428571428571)"
7,"(0.8551724137931035, 0.03076923076923077, 0.11557186006424608)","(0.0024630541871921183, 0.0642092746730083, 0.03571428571428571)"
8,"(0.8597701149425288, 0.08955223880597014, 0.20063916962768982)","(0.007389162561576354, 0.23305588585017817, 0.06878306878306878)"
9,"(0.8597701149425288, 0.08955223880597014, 0.20063916962768982)","(0.007389162561576354, 0.23305588585017817, 0.06878306878306878)"
10,"(0.8597701149425288, 0.08955223880597014, 0.20063916962768982)","(0.007389162561576354, 0.23305588585017817, 0.06878306878306878)"
11,"(0.8597701149425288, 0.08955223880597014, 0.20063916962768982)","(0.007389162561576354, 0.23305588585017817, 0.06878306878306878)"
12,"(0.8597701149425288, 0.08955223880597014, 0.20063916962768982)","(0.007389162561576354, 0.23305588585017817, 0.06878306878306878)"
13,"(0.8597701149425288, 0.08955223880597014, 0.20063916962768982)","(0.007389162561576354, 0.23305588585017817, 0.06878306878306878)"
14,"(0.8620689655172413, 0.11764705882352941, 0.2319467696354393)","(0.009852216748768473, 0.33769322235434035, 0.06613756613756613)"
15,"(0.8620689655172413, 0.11764705882352941, 0.2319467696354393)","(0.009852216748768473, 0.33769322235434035, 0.06613756613756613)"
16,"(0.8620689655172413, 0.11764705882352941, 0.2319467696354393)","(0.009852216748768473, 0.33769322235434035, 0.06613756613756613)"
