,Accuracy,Shape
0,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
1,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
2,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
3,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
4,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
5,"(0.7456896551724138, 0.0, -0.02698594916802746)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
6,"(0.7456896551724138, 0.0, -0.02698594916802746)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
7,"(0.7456896551724138, 0.016666666666666666, 0.015080289718385523)","(0.007389162561576354, 0.16409036860879897, 0.03042328042328042)"
8,"(0.7456896551724138, 0.016666666666666666, 0.015080289718385523)","(0.007389162561576354, 0.16409036860879897, 0.03042328042328042)"
9,"(0.7478448275862069, 0.03305785123966942, 0.053222007509136145)","(0.009852216748768473, 0.19976218787158143, 0.027777777777777776)"
10,"(0.7478448275862069, 0.03305785123966942, 0.053222007509136145)","(0.009852216748768473, 0.19976218787158143, 0.027777777777777776)"
11,"(0.75, 0.04918032786885246, 0.08360351198786067)","(0.012315270935960592, 0.29488703923900117, 0.06349206349206349)"
12,"(0.7478448275862069, 0.04878048780487805, 0.0653255474991764)","(0.014778325123152709, 0.3804994054696792, 0.06084656084656084)"
13,"(0.7478448275862069, 0.04878048780487805, 0.0653255474991764)","(0.014778325123152709, 0.3804994054696792, 0.06084656084656084)"
14,"(0.7456896551724138, 0.04838709677419355, 0.05027937073102171)","(0.017241379310344827, 0.5255648038049944, 0.0582010582010582)"
15,"(0.7456896551724138, 0.04838709677419355, 0.05027937073102171)","(0.017241379310344827, 0.5255648038049944, 0.0582010582010582)"
16,"(0.7456896551724138, 0.04838709677419355, 0.05027937073102171)","(0.017241379310344827, 0.5255648038049944, 0.0582010582010582)"
17,"(0.7456896551724138, 0.04838709677419355, 0.05027937073102171)","(0.017241379310344827, 0.5255648038049944, 0.0582010582010582)"
18,"(0.7478448275862069, 0.064, 0.07559668371773438)","(0.019704433497536946, 0.5921521997621879, 0.05555555555555555)"
